58.221.60.153 - - [07/Dec/2013:09:54:56 -0600] "GET /manager/html HTTP/1.1" 404 975
0:0:0:0:0:0:0:1%0 - - [07/Dec/2013:19:09:38 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=Justin%20Oliver&newTrade=Bought%2010000%20DMD%20at%20$5.19&realTimeSystem=email HTTP/1.1" 500 1685
127.0.0.1 - - [07/Dec/2013:19:10:29 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:19:11:44 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:19:16:28 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [07/Dec/2013:19:17:02 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=Justin%20Oliver&newTrade=Bought%2010000%20DMD%20at%20$5.19&realTimeSystem=email HTTP/1.1" 500 1685
127.0.0.1 - - [07/Dec/2013:19:17:49 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [07/Dec/2013:19:17:55 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=Justin%20Oliver&newTrade=Bought%2010000%20DMD%20at%20$5.19&realTimeSystem=email HTTP/1.1" 500 1685
127.0.0.1 - - [07/Dec/2013:19:19:36 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [07/Dec/2013:19:19:39 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=Justin%20Oliver&newTrade=Bought%2010000%20DMD%20at%20$5.19&realTimeSystem=email HTTP/1.1" 500 1907
127.0.0.1 - - [07/Dec/2013:19:21:20 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:19:21:45 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [07/Dec/2013:19:21:46 -0600] "GET /IBTradingServer/WEB-INF/classes/com/IBTrading/servlets/TradeCenter.java HTTP/1.1" 404 949
127.0.0.1 - - [07/Dec/2013:19:27:06 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:19:31:37 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:19:38:54 -0600] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [07/Dec/2013:19:40:03 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [07/Dec/2013:19:41:00 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?traderID=Justin%20Oliver&newTrade=Bought%2010000%20DMD%20at%20$5.19&realTimeSystem=email HTTP/1.1" 200 226
