0:0:0:0:0:0:0:1%0 - - [27/Feb/2014:09:21:15 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?realTimeSystem=email&traderID=Jason&newTrade=Bought+10000+YOD+at+5.43 HTTP/1.1" 200 192
187.177.36.145 - - [27/Feb/2014:11:39:00 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:00 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:00 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:01 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:01 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:01 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:01 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:01 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:01 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:01 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:02 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:02 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:02 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:02 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:02 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:02 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:02 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:03 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:03 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:03 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:03 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:03 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:03 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:03 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:04 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:04 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:04 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:04 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:04 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:04 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:04 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:04 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:05 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:05 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:05 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:05 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:05 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:05 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:05 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:06 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:06 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:12 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:12 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:12 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:12 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:12 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:13 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:13 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:13 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:13 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:13 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:13 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:13 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:14 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:14 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:14 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:14 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:14 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:14 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:14 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:15 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:15 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:15 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:15 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:15 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:15 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:15 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:16 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:16 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:16 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:16 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:16 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:16 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:16 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:17 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:17 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:17 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:17 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:17 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:17 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:17 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:18 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:18 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:18 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:18 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:18 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:18 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:18 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:19 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:19 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:19 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:19 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:19 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:19 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:19 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:20 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:20 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:20 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:20 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:20 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:20 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:20 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:21 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:21 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:21 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:21 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:21 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:21 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:21 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:22 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:22 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:22 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:22 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:22 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:22 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:22 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:22 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:23 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:23 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:23 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:23 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:23 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:23 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:23 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:24 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:24 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:24 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:24 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:24 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:24 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:26 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:26 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:26 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:26 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:26 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:26 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:26 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:27 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:27 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:27 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:27 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:27 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:27 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:27 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:27 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:28 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:28 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:28 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:28 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:28 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:28 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:28 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:29 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:29 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:29 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:29 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:29 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:29 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:29 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:30 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:30 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:30 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:30 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:30 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:30 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:30 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:31 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:31 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:31 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:31 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:31 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:31 -0600] "GET /manager/html HTTP/1.1" 404 975
187.177.36.145 - - [27/Feb/2014:11:39:31 -0600] "GET /manager/html HTTP/1.1" 404 975
79.125.89.131 - - [27/Feb/2014:12:00:33 -0600] "HEAD / HTTP/1.0" 404 -
0:0:0:0:0:0:0:1%0 - - [27/Feb/2014:14:10:46 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?realTimeSystem=email&traderID=Jason&newTrade=Bought+3000+ARIA+at+8.74 HTTP/1.1" 200 192
0:0:0:0:0:0:0:1%0 - - [27/Feb/2014:14:12:09 -0600] "GET /IBTradingServer/RemoteProcedureCallsServlet?realTimeSystem=email&traderID=Jason+Bond&newTrade=Bought+3000+ARIA+at+8.74 HTTP/1.1" 200 159
71.232.242.247 - - [27/Feb/2014:19:05:05 -0600] "GET /HNAP1/ HTTP/1.1" 404 963
24.142.233.178 - - [27/Feb/2014:22:58:58 -0600] "GET /HNAP1/ HTTP/1.1" 404 963
66.131.218.124 - - [27/Feb/2014:23:49:06 -0600] "GET /HNAP1/ HTTP/1.1" 404 963
